,album,artist,date,genre,label,score
9970,Shaft OST [Deluxe Edition],Isaac Hayes,November 2 2009,Pop/R&B,"Stax,Stax",8.5
9971,Unexpected Guests,DOOM,November 2 2009,Rap,Gold Dust Media,5.9
9972,Entropy,Panther,November 2 2009,"Metal,Rock",Kill Rock Stars,7.1
9973,Greatest Hits,Foo Fighters,November 3 2009,Rock,RCA,7.0
9974,Blue Record,Baroness,November 3 2009,Metal,Relapse,8.5
9975,Raditude,Weezer,November 4 2009,Rock,Geffen,4.5
9976,Swords,Morrissey,November 3 2009,Rock,Polydor,5.0
9977,Eccentric Soul: Smart's Palace,,November 3 2009,,Numero Group,8.0
9978,Unbalance,2562,November 3 2009,Electronic,Tectonic,6.6
9979,Tongue N' Cheek,Dizzee Rascal,October 15 2009,Rap,Dirtee Stank,7.5
9980,Molina and Johnson,Molina and Johnson,November 4 2009,Rock,Secretly Canadian,5.1
9981,Know Better Learn Faster,Thao with the Get Down Stay Down,October 15 2009,Rock,Kill Rock Stars,7.8
9982,Dillanthology 3,J Dilla,October 15 2009,Rap,Rapster,5.5
9983,We're on Your Side,Slaraffenland,October 15 2009,Pop/R&B,Hometapes,7.6
9984,The Conformist,Doveman,October 15 2009,Rock,Brassland,6.9
9985,Is and Always Was,Daniel Johnston,October 16 2009,"Experimental,Rock","High Wire,Eternal Yip Eye",7.1
9986,Love Is Not Pop,El Perro Del Mar,October 16 2009,Rock,Licking Fingers,7.8
9987,Earthly Delights,Lightning Bolt,October 16 2009,Rock,Load,7.6
9988,Survival Skills,"Buckshot,KRS-One",October 16 2009,"Metal,Pop/R&B,Rap",Duckdown,3.9
9989,Celebration,Madonna,October 19 2009,Pop/R&B,Warner Bros.,5.7
9990,You Can't Take It With You,As Tall as Lions,October 16 2009,Rock,Triple Crown,4.4
9991,Live at the Olympia,R.E.M.,October 29 2009,Rock,Warner Bros.,7.4
9992,The BQE,Sufjan Stevens,October 19 2009,Folk/Country,Asthmatic Kitty,7.4
9993,Axe to Fall,Converge,October 29 2009,Metal,Epitaph,8.5
9994,Let's Build a Roof,LAKE,October 29 2009,"Pop/R&B,Rock",K,7.8
9995,Strict Joy,The Swell Season,October 29 2009,Rock,Anti-,6.5
9996,What Will We Be,Devendra Banhart,October 30 2009,Folk/Country,Warner Bros.,4.0
9997,Smoke the Monster Out,Damian Lazarus,October 29 2009,Electronic,Get Physical,6.0
9998,Sainthood,Tegan and Sara,October 30 2009,Rock,Vapor,7.3
9999,Beak>,Beak>,October 30 2009,Rock,"Ipecac,Invada",6.9
10000,Opiate Sun,Jesu,October 30 2009,"Metal,Rock",Caldo Verde,7.0
10001,Scars,Basement Jaxx,October 9 2009,Electronic,XL,7.2
10002,Never Cry Another Tear,Bad Lieutenant,October 9 2009,Rock,Triple Echo,4.1
10003,III,Espers,October 30 2009,Rock,Drag City,6.1
10004,DJ-Kicks,Chromeo,October 9 2009,Electronic,!K7,6.5
10005,Death Acoustic,Nick Oliveri,October 9 2009,Rock,"MVD Audio,Impedance",3.5
10006,Ciao My Shining Star: The Songs of Mark Mulcahy,,October 9 2009,,Shout! Factory,4.5
10007,Psychic Chasms,Neon Indian,October 13 2009,Electronic,Lefse,8.6
10008,Embryonic,The Flaming Lips,October 12 2009,Rock,Warner Bros.,9.0
10009,Sunset/Sunrise,The Dutchess and the Duke,October 12 2009,Rock,Hardly Art,7.4
10010,Live at the El Mocambo,Elvis Costello,October 13 2009,Rock,Hip-O Select,8.4
10011,Butter,Hudson Mohawke,October 12 2009,Electronic,Warp,6.7
10012,Good Morning Jokers,Mi and L'au,October 12 2009,Folk/Country,Borne,6.6
10013,Abstract Expression,Dominique Leone,October 12 2009,Pop/R&B,Important,6.7
10014,Imidiwan: Companions,Tinariwen,October 13 2009,Global,World Village,7.6
10015,The Yolks,The Yolks,October 13 2009,"Electronic,Pop/R&B","Bachelor,Randy",7.0
10016,The Life of the World to Come,The Mountain Goats,October 14 2009,Rock,4AD,8.4
10017,45 Live,Peanut Butter Wolf,October 13 2009,"Electronic,Rap",Stones Throw,7.5
10018,"Rio [Collector's Edition],Live at Hammersmith '82!","Duran Duran,Duran Duran",October 14 2009,"Electronic,Rock","EMI,EMI","7.3,7.7"
10019,Splitting the Atom,Massive Attack,October 14 2009,Electronic,Virgin,4.4
10020,Wildlife,Headlights,October 14 2009,Rock,Polyvinyl,6.4
10021,All the Pleasures of the World,The Crayon Fields,October 14 2009,Rock,Chapter,7.8
10022,Ghostdini: The Wizard of Poetry in Emerald City,Ghostface Killah,October 7 2009,Rap,Def Jam,5.1
10023,Bonfires on the Heath,The Clientele,October 7 2009,Rock,Merge,7.4
10024,Goodnight Unknown,Lou Barlow,October 7 2009,Rock,Merge,7.3
10025,Chicken Switch,Melvins,October 7 2009,"Metal,Rock",Ipecac,7.8
10026,Milwaukee at Last!!!,Rufus Wainwright,October 1 2009,Rock,Decca,7.2
10027,Hello Nasty [Deluxe Edition],Beastie Boys,October 2 2009,"Rap,Rock",Capitol,7.0
10028,Where the Wild Things Are OST,Karen O and the Kids,October 8 2009,,"DGC,Interscope",6.8
10029,Born Again Revisited,Times New Viking,October 1 2009,"Experimental,Rock",Matador,8.1
10030,My Weakness Is Strong,Patton Oswalt,October 2 2009,,Warner Bros.,7.7
10031,Threadbare,Port O'Brien,October 1 2009,Rock,TBD,7.2
10032,I and Love and You,The Avett Brothers,October 2 2009,Rock,"Columbia,American",5.8
10033,There Is No Enemy,Built to Spill,October 5 2009,Rock,Warner Bros.,7.9
10034,A Strange Arrangement,Mayer Hawthorne,October 2 2009,Pop/R&B,Stones Throw,6.9
10035,Exploding Head,A Place to Bury Strangers,October 5 2009,Rock,Mute,6.6
10036,Love 2,Air,October 5 2009,Electronic,Astralwerks,4.0
10037,Threats/Worship,Lullabye Arkestra,October 2 2009,Rock,Vice,7.5
10038,Losing Feeling,No Age,October 5 2009,Rock,Sub Pop,8.3
10039,"Don't Stop,All Night EP","Annie,Annie",November 18 2009,"Electronic,Pop/R&B","Smalltown Supersound,Smalltown Supersound","7.2,7.7"
10040,Historicity,Vijay Iyer Trio,November 18 2009,,ACT Music + Vision,7.8
10041,Them Crooked Vultures,Them Crooked Vultures,November 19 2009,Rock,Interscope,6.2
10042,The Apple and the Tooth,Bibio,November 18 2009,Electronic,Warp,6.2
10043,Blakroc,BlakRoc,December 1 2009,"Pop/R&B,Rap",BlakRoc,6.7
10044,Yankee Reality,Hush Arbors,November 18 2009,"Experimental,Rock",Ecstatic Peace,7.3
10045,Ask the Night,Orenda Fink,November 18 2009,Rock,Saddle Creek,4.4
10046,A Retrospective 1998-2008 or I Was a Christian Emo Twentysomething,Lackthereof,December 1 2009,Rock,Film Guerrero,7.2
10047,Slow Attack,Brett Anderson,January 4 2010,Rock,B A Songs,7.0
10048,24/7,GusGus,December 3 2009,,Kompakt,6.9
10049,Prison Break EP,The Tough Alliance,January 5 2010,Electronic,Sincerely Yours,7.6
10050,Cocoon of Love,Princeton,December 3 2009,Rock,Kanine,5.9
10051,Dreamin' Man,Neil Young,December 4 2009,Rock,Reprise,5.0
10052,"The Singles, Vol. 8: 1972-1973",James Brown,January 5 2010,Rock,Hip-O Select,8.4
10053,God Is a Twelve-Year-Old Boy With Asperger's,Eugene Mirman,January 5 2010,Experimental,Sub Pop,7.4
10054,Milky Ways,Joakim,January 5 2010,"Electronic,Pop/R&B",!K7,6.8
10055,Of the Body Prone,Ahleuchatistas,January 5 2010,Rock,Tzadik,7.3
10056,July Flame,Laura Veirs,January 18 2010,Rock,"Bella Union,Raven Marching Band",7.5
10057,Enemy of the State: A Love Story,Lupe Fiasco,January 6 2010,Rap,Self-released,7.6
10058,Climb Up,Apse,January 18 2010,Rock,ATP,4.3
10059,Who Designs Nature's How,Bell Orchestre,January 6 2010,Rock,Arts & Crafts,5.5
10060,Rain on the City,Freedy Johnston,January 18 2010,Rock,Bar/None,6.7
10061,Transference,Spoon,January 19 2010,Rock,Merge,7.8
10062,Sturm,The Notwist,January 25 2010,"Electronic,Rock",Alien Transistor,3.4
10063,The Flexible Entertainer,Pit Er Pat,January 25 2010,"Experimental,Rock",Thrill Jockey,6.1
10064,Book of Leaves,Rachel Grimes,January 25 2010,Pop/R&B,RuminanCe,7.1
10065,Acolyte,Delphic,January 26 2010,"Electronic,Rock",Polydor,5.0
10066,Teen Dream,Beach House,January 26 2010,Rock,"Sub Pop,Bella Union",9.0
10067,Five American Portraits,Red Krayola With Art & Language,January 25 2010,,Drag City,6.2
10068,Setting the Paces,BOAT,January 26 2010,"Pop/R&B,Rock",Magic Marker,7.5
10069,End Times,Eels,January 21 2010,Rock,V2,3.9
10070,"The Biggest Ragga Dancehall Anthems 2009,The Biggest Reggae One-Drop Anthems 2009",,January 26 2010,,"Greensleeves,Greensleeves","7.5,6.0"
10071,You Are the One I Pick,Felix,January 20 2010,Electronic,Kranky,7.1
10072,Astro Coast,Surfer Blood,January 21 2010,Rock,Kanine,8.2
10073,One-Armed Bandit,Jaga Jazzist,January 26 2010,Jazz,Ninja Tune,6.9
10074,FabricLive 49,Buraka Som Sistema,January 27 2010,Electronic,Fabric,6.7
10075,Pop Ambient 2010,,January 27 2010,,Kompakt,5.7
10076,Realism,The Magnetic Fields,January 27 2010,Rock,Nonesuch,6.0
10077,Up From Below,Edward Sharpe & the Magnetic Zeros,January 21 2010,Rock,"Rough Trade,Vagrant",4.1
10078,Dimensional Bleedthrough,Krallice,January 21 2010,Metal,Profound Lore,8.0
10079,Diplo Presents: Free Gucci (Best of The Cold War Mixtapes),,January 22 2010,,Mad Decent,5.9
10080,What Day Is it Tonight?,Trans Am,January 21 2010,"Metal,Rock",Thrill Jockey,7.2
10081,"Francophonic, Vol. 2: 1980-1989",Franco & le Tout Puissant OK Jazz,January 22 2010,,Sterns Africa,8.7
10082,Zephyr EP,Basement Jaxx,January 22 2010,Electronic,XL,7.0
10083,There Is Love in You,Four Tet,January 25 2010,Electronic,Domino,8.6
10084,Black Wooden EP,Mount Eerie,January 22 2010,Rock,Southern,7.0
10085,Silence,Monolake,January 22 2010,Electronic,Imbalance Computer Music,7.8
10086,Campfire Songs,Animal Collective,January 14 2010,Experimental,Paw Tracks,7.2
10087,ATL RMX,,January 7 2010,,Adultswim.com,5.6
10088,Young One,The Mayfair Set,January 7 2010,"Experimental,Rock",Captured Tracks,6.8
10089,Strange Gods,Mincemeat or Tenspeed,January 7 2010,,Zum,7.0
10090,We Are Young Money,Young Money,January 8 2010,Rap,"Cash Money,Universal Motown,Young Money Entertainment",7.4
10091,"Triptych,Vice Versa, etc.","Eliane Radigue,Eliane Radigue",January 7 2010,,"Important,Important","8.0,6.4"
10092,By the Throat,Ben Frost,January 8 2010,"Electronic,Experimental",Bedroom Community,8.4
10093,The Mantles,The Mantles,January 8 2010,Rock,Siltbreeze,6.8
10094,Gone: The Promises Of Yesterday,24-Carat Black,January 8 2010,,Numero Group,7.9
10095,An Exaltation of Laarks,Laarks,January 8 2010,Rock,Absolutely Kosher,6.6
10096,"The Burrprint: The Movie 3-D,The State vs. Radric Davis","Gucci Mane,Gucci Mane",January 11 2010,Rap,Asylum,"8.4,8.0"
10097,Funtown Comedown,Bonny Billy and the Picket Line,January 14 2010,,Drag City,7.3
10098,Contra,Vampire Weekend,January 11 2010,Rock,XL,8.6
10099,Fabric 48,Radio Slave,January 14 2010,Electronic,Fabric,7.1
10100,Is There Nothing We Could Do?,Badly Drawn Boy,January 14 2010,Rock,"AWAL,BDB",6.6
10101,"Eddy Current Suppression Ring,Primary Colours","Eddy Current Suppression Ring,Eddy Current Suppression Ring",January 14 2010,"Electronic,Rock","Goner,Goner","8.1,8.2"
10102,The Voidist,Imaad Wasif,January 11 2010,Rock,Tee Pee,7.7
10103,Heartland,Owen Pallett,January 15 2010,Pop/R&B,Domino,8.6
10104,The Little Match Girl Passion,David Lang,January 15 2010,"Experimental,Rock",Harmonia Mundi,8.5
10105,All Shall Fall,Immortal,January 15 2010,Metal,Nuclear Blast,7.1
10106,"Legendary Hearts,New Sensations","Lou Reed,Lou Reed",January 15 2010,Rock,"Iconoclassic,Iconoclassic","6.9,5.8"
10107,Roy Montgomery/Grouper,"Roy Montgomery,Grouper",January 19 2010,"Rock,Experimental",Root Strata,7.8
10108,Athens,Underworld Vs. the Misterons,January 19 2010,,!K7,4.9
10109,Hustler's Son,Jason Boesel,January 15 2010,Rock,Team Love,5.5
10110,The Colossus,RJD2,January 18 2010,Electronic,RJ's Electrical Connections,6.8
10111,The Dark Side of the Moon,"The Flaming Lips,Stardeath and White Dwarfs",January 18 2010,Rock,Warner Bros.,5.2
10112,Underwater Peoples Winter Review,,January 19 2010,,Underwater Peoples,7.3
10113,Carousel,Robin Guthrie,January 19 2010,"Electronic,Global,Rock",Darla,6.5
10114,Real Life Is No Cool,Lindstrøm & Christabelle,January 20 2010,Pop/R&B,Smalltown Supersound,8.1
10115,Intimate Moments for a Sensual Evening,Aziz Ansari,January 20 2010,,Comedy Central,8.1
10116,Make It Sound in Tune,Portastatic,January 20 2010,"Experimental,Rock",Merge,7.2
10117,Gazzillion Ear EP,DOOM,January 7 2010,Rap,Lex,7.2
10118,The Dance Paradox,Redshape,January 6 2010,Electronic,Delsin,7.3
10119,Trust,Kaito,January 20 2010,Electronic,Kompakt,5.1
10120,Alphabet 1968,Black to Comm,January 6 2010,"Electronic,Rock",Type,7.8
10121,Rejoicer,Grooms,January 11 2010,Rock,Death By Audio,6.4
10122,Chimeric,Radian,January 6 2010,Rock,Thrill Jockey,7.0
10123,Movies Is Magic,Klimek,January 11 2010,Electronic,Anticipate,6.3
10124,VH1 Storytellers,Kanye West,January 12 2010,Rap,Def Jam,4.9
10125,Fela: The Best of the Black President,Fela Kuti,January 12 2010,Global,Knitting Factory,8.1
10126,Huntsville International,G-Side,January 12 2010,Rap,,7.7
10127,Reality EP,Real Estate,January 13 2010,Rock,Mexican Summer,7.5
10128,The Fame Monster,Lady Gaga,January 13 2010,Pop/R&B,Interscope,7.8
10129,Television,Baaba Maal,December 10 2009,"Global,Pop/R&B",Palm,5.8
10130,Eggs,Oh No Ono,January 12 2010,Rock,"Friendly Fire,Morningside",6.8
10131,A Parallax I,James Husband,January 13 2010,Rock,Polyvinyl,6.0
10132,Low Tide Digitals III,Luigi Archetti & Bo Wiget,January 13 2010,,Rune Grammofon,7.7
10133,Ghost,Tape Deck Mountain,December 10 2009,Rock,Lefse,5.1
10134,Klang,The Rakes,December 11 2009,"Electronic,Rock",V2,6.1
10135,Gonna Work Out Fine,Untold,January 12 2010,Electronic,Hemlock,7.8
10136,Judy Sucks a Lemon for Breakfast,Cornershop,January 13 2010,Rock,Ample Play,7.3
10137,Darkness Come Alive,Doomriders,December 10 2009,Metal,Deathwish,7.5
10138,"Neil Young,Everybody Knows This Is Nowhere,After the Gold Rush,Harvest","Neil Young,Neil Young,Neil Young,Neil Young",December 11 2009,Rock,"Reprise,Reprise,Reprise,Reprise,Reprise,Reprise,Reprise,Reprise","7.8,10,10,9.3"
10139,Echo Kid,Turbo Fruits,December 11 2009,"Electronic,Pop/R&B",Fat Possum,6.4
10140,Xenophanes,Omar Rodriguez-López,December 11 2009,Rock,Rodriguez López,5.7
10141,My Dusty Road,Woody Guthrie,January 4 2010,Folk/Country,Rounder,7.3
10142,"Fire in My Bones: Raw + Rare + Otherworldly African-American Gospel, 1944-2007",,December 11 2009,,Tompkins Square,8.4
10143,In This Light and on This Evening,Editors,January 4 2010,"Electronic,Rock",Fader,3.7
10144,Asleep in the Back [Deluxe Edition],Elbow,December 7 2009,Rock,Polydor,8.4
10145,Kitsuné Maison 8,,January 4 2010,,Kitsuné,7.0
10146,Tribute to the Sun,Luciano,December 4 2009,"Electronic,Global,Rock",Cadenza,8.3
10147,Untitled,R. Kelly,January 4 2010,Pop/R&B,Jive,4.8
10148,Armonico Hewa,OOIOO,December 4 2009,"Experimental,Rock",Thrill Jockey,7.4
10149,Score! The Remixes!,,December 4 2009,,Merge,6.3
10150,Pyramids With Nadja,Pyramids With Nadja,December 4 2009,"Metal,Rock",Hydra Head,7.2
10151,"Lifter Puller,Half Dead and Dynamite,The Entertainment and Arts EP,Fiestas and Fiascos,Slips Backwards","Lifter Puller,Lifter Puller,Lifter Puller,Lifter Puller,Lifter Puller",December 7 2009,Rock,"Orchard,Orchard,Orchard,Orchard,Orchard","6.5,8.2,7.7,8.8,7.8"
10152,New York-Addis-London: The Story of Ethio Jazz 1965-1975,Mulatu Astatke,December 7 2009,"Jazz,Pop/R&B,Global",Strut,9.0
10153,Dr. No's Ethiopium,Oh No,December 7 2009,"Pop/R&B,Rap",Stones Throw,7.7
10154,Endless Bummer,Pink Skull,December 7 2009,Electronic,Rvng Intl.,7.3
10155,Renaissance: The Mix Collection,M.A.N.D.Y.,December 8 2009,Electronic,Renaissance,7.0
10156,Elvis 75: Good Rockin' Tonight,Elvis Presley,December 8 2009,Rock,"Legacy,RCA",9.0
10157,9,Supersilent,December 8 2009,Experimental,Rune Grammofon,5.7
10158,Music For Insomnia,Lowell Brams,December 9 2009,Electronic,Asthmatic Kitty,5.3
10159,"How to Be a Lady, Volume 1",Electrik Red,December 8 2009,"Electronic,Rock",Def Jam,8.2
10160,Light: On the South Side,,December 8 2009,,Numero Group,8.3
10161,Zounds,Dappled Cities,December 9 2009,Rock,Dangerbird,7.8
10162,"White Water, White Bloom",Sea Wolf,December 9 2009,Rock,Dangerbird,5.0
10163,Jarvik Mindstate,Peverelist,December 9 2009,Electronic,Punch Drunk,5.5
10164,Fantastic Mr. Fox OST,,December 10 2009,,ABKCO,7.1
10165,Kids Aflame,ARMS,December 9 2009,Rock,Gigantic,6.1
10166,Til the Casket Drops,Clipse,December 10 2009,Rap,Columbia,6.2
10167,New Worlds,Charlotte Hatherley,December 1 2009,Rock,"Minty Fresh,Little Sister",8.0
10168,Rated R,Rihanna,December 2 2009,Pop/R&B,Def Jam,6.1
10169,Toeachizown,Dâm-Funk,December 2 2009,Pop/R&B,Stones Throw,8.2
10170,The Treatment,Early Day Miners,December 2 2009,Rock,Secretly Canadian,5.6
10171,Dead Zone Boys,Jookabox,December 2 2009,Folk/Country,Asthmatic Kitty,6.4
10172,The Seventh Seal,Rakim,December 2 2009,Rap,SMC,5.6
10173,Felt 3: A Tribute to Rosie Perez,Felt,December 3 2009,Rap,Rhymesayers,5.8
10174,Good Evening New York City,Paul McCartney,December 3 2009,Rock,Hear Music,5.9
10175,Seconds,Gary Higgins,November 24 2009,,Drag City,3.2
10176,Fall Be Kind EP,Animal Collective,November 25 2009,Experimental,Domino,8.9
10177,Florine,Julianna Barwick,December 3 2009,Electronic,Florid,8.2
10178,New York,Frank Sinatra,November 25 2009,"Jazz,Pop/R&B",Rhino,6.1
10179,Arrow,Clare and the Reasons,November 25 2009,Pop/R&B,Frog Stand,5.1
10180,One Fast Move or I'm Gone: Music From Kerouac's Big Sur,Jay Farrar & Benjamin Gibbard,November 30 2009,,Atlantic,4.9
10181,Family,Think About Life,November 25 2009,"Pop/R&B,Rock",Alien8,6.1
10182,Spells,The Happy Hollows,November 25 2009,,Self-released,7.2
10183,Stir the Blood,The Bravery,November 30 2009,"Electronic,Rock",Island,2.3
10184,The Catalogue,Kraftwerk,December 1 2009,"Electronic,Rock","Astralwerks,Mute",9.5
10185,"Maybes EP,Sketch on Glass EP","Mount Kimbie,Mount Kimbie",November 30 2009,Electronic,"Hotflush,Hotflush","7.4,7.9"
10186,What We All Come to Need,Pelican,November 30 2009,Metal,Southern Lord,5.5
10187,"Do What You Want, Be What You Are: The Music of Daryl Hall and John Oates",Hall and Oates,November 19 2009,,Legacy,4.8
10188,Buzzrock Warrior,Jahdan Blakkamoore,November 30 2009,"Electronic,Global",Gold Dust Media,6.8
10189,Street Anthems,Roll Deep,November 19 2009,Rap,Roll Deep,8.5
10190,Local Currency: Solo 1992-1998,Franklin Bruno,November 19 2009,"Folk/Country,Pop/R&B",Fayettenam,7.5
10191,Blackout Summer,Christmas Island,November 19 2009,"Pop/R&B,Rock",In the Red,6.3
10192,2002-2010,RJD2,November 20 2009,Electronic,RJ's Electrical Connections,8.2
10193,Waiting For You,King Midas Sound,November 13 2009,Experimental,Hyperdub,7.6
10194,Live in New York,The Doors,November 20 2009,Rock,Rhino,7.0
10195,Suitcase 3: Up We Go Now,Guided by Voices,November 16 2009,Rock,"Guided By Voices, Inc.",5.3
10196,Rock is Dodelijk,Brakes,November 13 2009,Rock,Fat Cat,7.0
10197,No Ceilings,Lil Wayne,November 16 2009,Rap,Young Money Entertainment,7.7
10198,Real Estate,Real Estate,November 17 2009,Rock,Woodsist,8.5
10199,Before I Self Destruct,50 Cent,November 16 2009,"Pop/R&B,Rap",Interscope,6.0
10200,Ignore the Ignorant,The Cribs,November 16 2009,Rock,"Warner Bros.,Wichita",7.0
10201,Echo Party,Edan,December 1 2009,Rap,Traffic Entertainment,6.8
10202,Machine Dreams,Little Dragon,November 16 2009,Electronic,Peacefrog,7.7
10203,Up to Now,Snow Patrol,November 20 2009,Rock,Interscope,5.1
10204,Ultraviolet,Kid Sister,November 17 2009,Pop/R&B,Downtown,4.4
10205,Space Oddity [40th Anniversary Edition],David Bowie,November 17 2009,Rock,EMI,6.7
10206,Continent,CFCF,November 17 2009,Electronic,Paper Bag,7.7
10207,Sugarland,Talk Normal,November 17 2009,"Experimental,Rock",Rare Book Room,7.8
10208,Carpet Madness,Get Back Guinozzi!,November 20 2009,Rock,Fat Cat,7.1
10209,Hot Wax,Grant Hart,November 20 2009,Rock,Con D'or,4.2
10210,Glitter and Doom Live,Tom Waits,November 23 2009,Rock,Anti-,8.0
10211,Can You Dig It? The Music and Politics of Black Action Films 1968-75,,November 23 2009,,Soul Jazz,8.7
10212,Trust in Numbers,Lake Heartbeat,November 23 2009,Rock,Service,6.9
10213,Ouled Bambara: Portraits of Gnawa,,November 23 2009,,"Drag City,Twos & Fews",7.3
10214,Distillation,D. Charles Speer and the Helix,November 24 2009,Experimental,Three Lobed,7.5
10215,"Oh, Glory. Oh, Wilderness.",Holopaw,November 24 2009,Rock,Bakery Outlet,8.1
10216,For Your Own Special Sweetheart,Jawbox,November 24 2009,Rock,"Dischord,DeSoto",9.3
10217,Together You and I,Barton Carroll,January 27 2010,Folk/Country,Skybucket,7.4
10218,The Golden Archipelago,Shearwater,February 24 2010,Rock,Matador,7.9
10219,"Tumbélé! Biguine, Afro and Latin Sounds From The French Caribbean, 1963-1974",,February 3 2010,,Soundway,8.5
10220,144 Pulsations of Light,Ethernet,February 5 2010,,Kranky,6.7
10221,European,Sambassadeur,February 23 2010,Rock,Labrador,7.0
10222,Escape 2 Mars,Gift of Gab,November 24 2009,Rap,Cornerstone,5.4
10223,YellowFever,YellowFever,January 27 2010,Rock,Wild World,7.2
10224,Ali and Toumani,"Ali Farka Touré,Toumani Diabaté",February 8 2010,"Folk/Country,Global,Pop/R&B",World Circuit,8.3
10225,In Stereo,Fenn O'Berg,March 9 2010,Electronic,Mego,6.5
10226,One Life Stand,Hot Chip,February 8 2010,Electronic,Astralwerks,8.4
10227,The Amazing,The Amazing,February 12 2010,Rock,Subliminal Sounds,7.3
10228,Prenuptial Agreement,J. Stalin,February 19 2010,"Pop/R&B,Rap",SMC,7.9
10229,Idol Omen,Glass Ghost,November 23 2009,"Metal,Rock",Western Vinyl,7.7
10230,American Gong,Quasi,February 22 2010,"Experimental,Rock",Kill Rock Stars,7.2
10231,Sigh No More,Mumford & Sons,February 19 2010,Rock,Glassnote,2.1
10232,Hidden,These New Puritans,February 22 2010,"Electronic,Rock",Domino,8.2
10233,We Are Proud of Our Choices,Ewan Pearson,February 19 2010,Electronic,Kompakt,7.0
10234,Double Jointer,Golden Triangle,March 9 2010,"Electronic,Pop/R&B",Hardly Art,6.2
10235,Tidings,Wolf People,February 22 2010,Rock,Jagjaguwar,6.4
10236,Oar,Record Club,March 5 2010,,Self-released,6.9
10237,The Winter of Mixed Drinks,Frightened Rabbit,March 8 2010,Rock,Fat Cat,6.6
10238,The Years EP,Memoryhouse,February 22 2010,"Electronic,Rock",Arcade Sound,7.3
10239,Jet Lag,Josiah Wolf,March 5 2010,Rock,Anticon,5.6
10240,Lights,Ellie Goulding,March 5 2010,Electronic,Polydor,6.8
10241,Fight Softly,The Ruby Suns,March 5 2010,Rock,Sub Pop,6.1
10242,Hologram Jams,Jaguar Love,March 5 2010,"Electronic,Rock",Fat Possum,2.0
10243,Quarantine the Past,Pavement,March 8 2010,Rock,"Matador,Domino",10
10244,Nerve Up,LoneLady,March 8 2010,Rock,Warp,7.7
10245,Between Buildings and Trees,Andrew Thomas,March 8 2010,Electronic,Kompakt,7.2
10246,Time on a String,Ortolan,March 8 2010,"Pop/R&B,Rock",Sounds Familyre,6.4
10247,Sisterworld,Liars,March 9 2010,Rock,Mute,8.1
10248,The Brutalist Bricks,Ted Leo and the Pharmacists,March 9 2010,"Electronic,Rock",Matador,7.9
10249,Coconut,Archie Bronson Outfit,March 2 2010,"Electronic,Rock",Domino,6.4
10250,"The Creatures in the Garden of Lady Walton,Veil Waltz EP","Clogs,Clogs",March 3 2010,Rock,"Brassland,Brassland","8.2,7.1"
10251,Descending Shadows,Pierced Arrows,March 2 2010,"Electronic,Pop/R&B",Vice,6.6
10252,Snakes for the Divine,High on Fire,March 1 2010,Metal,E1,8.0
10253,Magic Chairs,Efterklang,February 26 2010,Rock,4AD,5.9
10254,Watergate 05,Ellen Allien,February 26 2010,Electronic,Watergate,6.9
10255,Trilogi,Fredrik,February 26 2010,Experimental,Kora,7.0
10256,Nitetime Rainbows EP,A Sunny Day in Glasgow,March 1 2010,Rock,Mis Ojos Discos,7.0
10257,"Tomorrow, in a Year","The Knife,Planningtorock,Mt. Sims",March 1 2010,"Electronic,Experimental,Rock",Mute,6.9
10258,Maintenant,Gigi,February 26 2010,"Global,Pop/R&B",Tomlab,7.2
10259,Mathematics Presents: Return of Wu and Friends,Mathematics,March 1 2010,Rap,Gold Dust Media,3.2
10260,Yeah So,Slow Club,March 1 2010,Rock,Moshi Moshi,7.4
10261,Permalight,Rogue Wave,March 3 2010,"Experimental,Rock",Brushfire,5.1
10262,Ladies and Gentlemen We are Floating in Space [Collector's Editon],Spiritualized,March 2 2010,"Experimental,Rock",ATP,10
10263,Going Places,Yellow Swans,March 3 2010,"Experimental,Rock",Type,8.3
10264,Close Calls With Brick Walls / Mother of Mankind,Andrew W.K.,March 2 2010,Rock,Steev Mike,6.8
10265,Back to Light,Bomb the Bass,March 3 2010,Electronic,!K7,5.0
10266,Rat a Tat Tat,Jason Collett,March 2 2010,Rock,Arts & Crafts,7.0
10267,A Sufi and a Killer,Gonjasufi,March 4 2010,Rock,Warp,8.4
10268,"Elevator Music, Vol. 1,Sub:stance",,March 3 2010,,"Fabric,Ostgut Ton","7.5,7.2"
10269,Constellations,Balmorhea,March 4 2010,Rock,Western Vinyl,7.9
10270,In the Dark,The Whigs,March 4 2010,"Electronic,Rock",ATO,3.6
10271,Draumalandid,Valgeir Sigurðsson,March 4 2010,Experimental,Bedroom Community,7.3
10272,Animalore,Via Audio,February 22 2010,Rock,Undertow,4.8
10273,The Meat of Life,Clem Snide,February 23 2010,Rock,429,5.3
10274,Nigeria Afrobeat Special: The New Explosive Sound in 1970s Nigeria,,March 4 2010,,Soundway,6.1
10275,Plastic Beach,Gorillaz,March 10 2010,"Electronic,Rock",Virgin,8.5
10276,Fabric 50,Martyn,February 23 2010,Electronic,Fabric,6.8
10277,"Wierd Presents: Cold Waves and Minimal Electronics, Vol. 1",,March 9 2010,,Angular,8.2
10278,Have One on Me,Joanna Newsom,February 23 2010,Folk/Country,Drag City,9.2
10279,Standing on Top of Utopia,Kasper Bjørke,February 23 2010,Electronic,HFN,6.1
