,album,artist,date,genre,label,score
155,Trust Issues,Yhung T.O.,December 17 2018,Rap,"Rule #1,Interscope",7.4
156,Sistahs,Big Joanie  ,December 17 2018,Rock, Daydream Library Series ,7.6
157,The Capitol Studio Sessions,Jeff Goldblum & The Mildred Snitzer Orchestra,December 15 2018,Jazz,Decca,6.3
158,Penelope Two,Penelope Trappes ,December 18 2018,Experimental,Houndstooth,7.5
159,Paranoid,Black Sabbath,December 9 2018,"Metal,Rock","Vertigo,Warner Bros.",9.5
160,Look,Blake Mills,December 10 2018,"Rock,Experimental",New Deal,8.1
161,Icarus Falls,Zayn,December 18 2018,Pop/R&B,RCA,6.4
162,Manos,The Spinanes,December 10 2018,Rock,Merge,8.5
163,Your Dog,Rose Droll,December 10 2018,Experimental,"Father/Daughter,Double Denim",6.7
164,Evil Genius,Gucci Mane,December 11 2018,Rap,Atlantic,6.5
165," Chronicles II,Chronicles III","The 7th Plain,The 7th Plain",December 19 2018,Electronic,"a-ton,a-ton","7.4,8.0"
166,Send Flowers,State Champion,December 11 2018,Rock,"Sophomore Lounge,Feeding Tube",8.0
167,"The Chic Organization 1977-1979,Chic,C’est Chic,Risqué,We Are Family,Original ’77-’79 Remixes & Edits","Chic,Chic,Chic,Chic,Sister Sledge,Chic",December 12 2018,Pop/R&B,"Rhino,Atlantic,Rhino,Atlantic,Rhino,Atlantic,Rhino,Atlantic,Rhino,Atlantic,Rhino,Atlantic","8.2,7.6,8.4,9.4,8.6,6.5"
168,Sky Lake,It Looks Sad.,December 11 2018,Rock,Tiny Engines,6.9
169,DiCaprio 2,J.I.D,December 12 2018,Rap,"Dreamville,Interscope",7.7
170,boygenius EP,boygenius,October 26 2018,Rock,Matador,8.3
171,MONOAkuma,Merzbow,December 12 2018,Experimental,Room40,7.0
172,Arrive Without Leaving,"Laraaji,Arji OceAnanda,Dallas Acid",October 27 2018,Experimental,Flying Moonlight,7.6
173,Puff O’Gigio,XXL,December 13 2018,Rock,Bad Paintings,7.5
174,Sonder Somatic,Bruce,October 27 2018,Electronic,Hessle Audio,7.4
175,Darker Days,Peter Bjorn and John,October 27 2018,Rock,Ingrid,6.8
176,Une Vie Cent Détours,Cosmic Analog Ensemble,October 29 2018,Jazz,My Bags,7.7
177,Traversa,Geotic,October 26 2018,Electronic,Ghostly,6.7
178,Car Wheels on a Gravel Road,Lucinda Williams,October 28 2018,Folk/Country,Mercury,9.5
179,Suspiria (Music for the Luca Guadagnino Film),Thom Yorke,October 27 2018,"Electronic,Rock",XL,8.0
180,IC-01 Hanoi,Unknown Mortal Orchestra,October 29 2018,Rock,‎Jagjaguwar‎,6.5
181,Unreality,SRSQ,October 29 2018,Electronic,Dais,6.9
182,Salt,Mr Twin Sister,November 2 2018,Pop/R&B,Twin Group ,7.0
183,Universal Beings,Makaya McCraven,October 29 2018,Jazz,International Anthem,8.1
184,Aviary,Julia Holter,November 2 2018,Experimental,Domino,8.2
185,LoVE me NOw,Tory Lanez,November 2 2018,Rap,"Mad Love,Interscope",5.0
186,FM!,Vince Staples,November 2 2018,Rap,Def Jam,8.2
187,Alone at Last,Tasha,November 3 2018,Pop/R&B,Father/Daughter,7.1
188,...And Justice for All,Metallica,November 3 2018,Metal,Blackened Recordings,9.3
189,Crush Crusher,Ian Sweet,November 3 2018,Rock,Hardly Art,6.5
190,MihTy,"Ty Dolla $ign,Jeremih",November 3 2018,"Rap,Pop/R&B",Def Jam,7.7
